Prefecture,Municipality,median_price,count,median_area,price_per_m2
Osaka Prefecture,Kawachinagano City,16000000.0,37,230.0,69565.21739130435
Osaka Prefecture,Kishiwada City,8600000.0,47,145.0,59310.34482758621
Osaka Prefecture,"Kita Ward,Osaka City",39500000.0,88,85.0,464705.8823529412
Osaka Prefecture,"Kita Ward,Sakai City",18000000.0,63,105.0,171428.57142857142
Osaka Prefecture,"Konohana Ward,Osaka City",11000000.0,33,70.0,157142.85714285713
Osaka Prefecture,Matsubara City,6400000.0,88,90.0,71111.11111111111
Osaka Prefecture,"Minato Ward,Osaka City",16000000.0,76,65.0,246153.84615384616
Osaka Prefecture,Minoo City,40000000.0,41,280.0,142857.14285714287
Osaka Prefecture,"Miyakojima Ward,Osaka City",19000000.0,64,67.5,281481.48148148146
Osaka Prefecture,Moriguchi City,7500000.0,101,70.0,107142.85714285714
Osaka Prefecture,"Naka Ward,Sakai City",19000000.0,14,280.0,67857.14285714286
Osaka Prefecture,"Naniwa Ward,Osaka City",40000000.0,58,105.0,380952.38095238095
Osaka Prefecture,Neyagawa City,8600000.0,145,85.0,101176.4705882353
Osaka Prefecture,"Nishi Ward,Osaka City",64000000.0,54,145.0,441379.3103448276
Osaka Prefecture,"Nishi Ward,Sakai City",15000000.0,67,140.0,107142.85714285714
Osaka Prefecture,"Nishinari Ward,Osaka City",8300000.0,123,70.0,118571.42857142857
Osaka Prefecture,"Nishiyodogawa Ward,Osaka City",13000000.0,53,100.0,130000.0
Osaka Prefecture,"Sakai Ward,Sakai City",13500000.0,168,100.0,135000.0
Osaka Prefecture,Sennan City,5800000.0,27,220.0,26363.636363636364
Osaka Prefecture,Settsu City,15000000.0,23,100.0,150000.0
Osaka Prefecture,Shijonawate City,5400000.0,31,90.0,60000.0
Osaka Prefecture,"Shimamoto Town,Mishima County",30000000.0,11,150.0,200000.0
Osaka Prefecture,Suita City,30000000.0,82,195.0,153846.15384615384
Osaka Prefecture,"Suminoe Ward,Osaka City",7750000.0,60,52.5,147619.04761904763
Osaka Prefecture,"Sumiyoshi Ward,Osaka City",11500000.0,136,60.0,191666.66666666666
Osaka Prefecture,"Taisho Ward,Osaka City",10500000.0,42,67.5,155555.55555555556
Osaka Prefecture,Takaishi City,4500000.0,24,60.0,75000.0
Osaka Prefecture,Takatsuki City,26000000.0,102,160.0,162500.0
Osaka Prefecture,"Tennoji Ward,Osaka City",26000000.0,75,60.0,433333.3333333333
Osaka Prefecture,Tondabayashi City,8900000.0,20,200.0,44500.0
Osaka Prefecture,Toyonaka City,20000000.0,178,110.0,181818.18181818182
Osaka Prefecture,"Tsurumi Ward,Osaka City",25000000.0,22,140.0,178571.42857142858
Osaka Prefecture,Yao City,15000000.0,129,100.0,150000.0
Osaka Prefecture,"Yodogawa Ward,Osaka City",18500000.0,82,95.0,194736.84210526315
Saga Prefecture,Imari City,5800000.0,12,250.0,23200.0
Saga Prefecture,Karatsu City,5500000.0,20,220.0,25000.0
Saga Prefecture,Ogi City,4200000.0,12,215.0,19534.883720930233
Saga Prefecture,Saga City,7100000.0,38,205.0,34634.14634146341
Saga Prefecture,Takeo City,4500000.0,10,320.0,14062.5
Saga Prefecture,Taku City,5300000.0,10,280.0,18928.571428571428
Saga Prefecture,Tosu City,5700000.0,25,310.0,18387.09677419355
Saitama Prefecture,Ageo City,20000000.0,21,130.0,153846.15384615384
Saitama Prefecture,Asaka City,13000000.0,31,65.0,200000.0
Saitama Prefecture,"Chuo Ward,Saitama City",38000000.0,21,165.0,230303.0303030303
Saitama Prefecture,Fujimi City,5000000.0,19,55.0,90909.09090909091
Saitama Prefecture,Fujimino City,14000000.0,22,102.5,136585.36585365853
Saitama Prefecture,Hanno City,8500000.0,13,185.0,45945.94594594595
Saitama Prefecture,Iruma City,6600000.0,12,125.0,52800.0
Saitama Prefecture,"Iwatsuki Ward,Saitama City",11000000.0,10,162.5,67692.30769230769
Saitama Prefecture,Kasukabe City,6300000.0,11,105.0,60000.0
Saitama Prefecture,Kawagoe City,16500000.0,28,135.0,122222.22222222222
Saitama Prefecture,Kawaguchi City,17000000.0,77,75.0,226666.66666666666
Saitama Prefecture,"Kita Ward,Saitama City",28000000.0,16,145.0,193103.44827586206
Saitama Prefecture,Konosu City,15000000.0,14,147.5,101694.91525423729
Saitama Prefecture,Koshigaya City,16000000.0,45,100.0,160000.0
Saitama Prefecture,Kumagaya City,8200000.0,25,125.0,65600.0
